src_ip,dst_ip,src_port,dst_port,protocol,TotFwdPkts,TotBwdPkts,TotLenFwdPkts,TotLenBwdPkts,FwdPktLenMean,BwdPktLenMean,FwdIATMean,BwdIATMean,FlowDuration,FlowByts/s,FlowPkts/s,Label
162.125.66.12,192.168.31.87,443,32959,TCP,87235,3,3674710,4440,42.12426205078237,1480.0,0.0005129041658069101497122681523,0.1889685,71.381356,51542.17019917637877319113971,1222.139853997730163601823423,bulk
162.125.19.131,192.168.31.87,443,32821,TCP,1025,0,123980,0,120.9560975609756,0.0,0.0853984814453125,0,87.594636,1415.383471654588529827328696,11.70162976646195550147614062,bulk
162.125.66.13,192.168.31.87,443,32824,TCP,2259,0,915081,0,405.0823373173971,0.0,0.03931386093888396811337466785,0,89.017948,10279.73594718224688800959555,25.37690489113498774426927927,bulk
162.125.66.12,192.168.31.87,443,32627,TCP,125057,5,5314682,7400,42.49807687694411,1480.0,0.0007145732311924257932446264074,-2.6873915,89.361670,59556.65331679678770551177031,1399.503836488284070787844498,bulk
162.125.66.13,192.168.31.87,443,32184,TCP,4462,0,2932233,0,657.1566562079785,0.0,0.005831719569603227975790181574,0,68.021746,43107.28807225853920303662890,65.59666962973870150289879357,bulk
162.125.19.131,192.168.31.87,443,32167,TCP,1430,0,160063,0,111.93216783216783,0.0,0.01724707277816655003498950315,0,53.529620,2990.176279973592190641368274,26.71418179318291443129990461,bulk
162.125.66.19,192.168.31.87,443,32551,TCP,676,0,941135,0,1392.2115384615386,0.0,0.03342208444444444444444444444,0,49.225631,19118.80012264342533262803680,13.73268328444586114091660907,bulk
162.125.66.19,192.168.31.87,443,32782,TCP,364,0,520124,0,1428.9120879120878,0.0,-0.07556104407713498622589531680,0,32.193315,16156.27343751334710327283785,11.30669519432838774136804489,bulk
162.125.66.19,192.168.31.87,443,32781,TCP,6,0,407,0,67.83333333333333,0.0,0.2153678,0,1.076839,377.9580791557512311496890436,5.571863574777659427268143149,bulk
162.125.66.19,192.168.31.87,443,32783,TCP,6,0,407,0,67.83333333333333,0.0,0.215372,0,1.076860,377.9507085415002878740040488,5.571754917073714317552885240,bulk
162.125.66.19,192.168.31.87,443,32780,TCP,6,0,407,0,67.83333333333333,0.0,0.2159118,0,1.079559,377.0057958851716302675444325,5.557825000764200937605077629,bulk
162.125.6.20,192.168.31.87,443,32769,TCP,52,0,13811,0,265.59615384615387,0.0,-0.5225026274509803921568627451,0,44.183728,312.5811384679898445871294518,1.176903859266922881654531279,bulk
162.125.19.130,192.168.31.87,443,32547,TCP,296,0,24336,0,82.21621621621621,0.0,0.02474991186440677966101694915,0,73.090479,332.9571831099916584210646642,4.049775073987406759230569552,bulk
162.125.6.20,192.168.31.87,443,32816,TCP,13,0,1139,0,87.61538461538461,0.0,-0.8263315,0,12.360088,92.15144746542257627939218556,1.051772446927562328035204927,bulk
162.125.19.131,192.168.31.87,443,32819,TCP,4,0,296,0,74.0,0.0,0.3865106666666666666666666667,0,1.159532,255.2754042148039036438839118,3.449667624524377076268701511,bulk
162.125.19.131,192.168.31.87,443,32820,TCP,9,0,4258,0,473.1111111111111,0.0,0.228181375,0,1.825451,2332.574251513735509745262951,4.930288460221610988188672279,bulk
162.125.66.13,192.168.31.87,443,32825,TCP,6,0,407,0,67.83333333333333,0.0,0.2155086,0,1.077543,377.7111447060581341069451521,5.568223263479972492977078409,bulk
162.125.66.13,192.168.31.87,443,32826,TCP,6,0,407,0,67.83333333333333,0.0,0.2108922,0,1.054461,385.9791874711345417232121435,5.690110871810337224420817840,bulk
162.125.66.19,192.168.31.87,443,32832,TCP,689,0,1008413,0,1463.589259796807,0.0,0.05589095930232558139534883721,0,38.452980,26224.57349209346063686091429,17.91798711049182664126421411,bulk
162.125.7.20,192.168.31.87,443,32845,TCP,9,0,899,0,99.88888888888889,0.0,0.311001875,0,2.488015,361.3322266947747501522297896,3.617341535320325641123546281,bulk
162.125.19.130,192.168.31.87,443,32960,TCP,100,0,7343,0,73.43,0.0,0.1244653535353535353535353535,0,51.908858,141.4594788427054203350033245,1.926453477362187393912615069,bulk
162.125.66.19,192.168.31.87,443,32982,TCP,6,0,407,0,67.83333333333333,0.0,0.2457256,0,1.228628,331.2638162242761844919699046,4.883496062274341786122406457,bulk
162.125.66.19,192.168.31.87,443,32981,TCP,198,0,277660,0,1402.3232323232323,0.0,0.1305904060913705583756345178,0,25.726310,10792.84203603237308420834546,7.696401077340667977646230649,bulk
162.125.66.19,192.168.31.87,443,32983,TCP,6,0,407,0,67.83333333333333,0.0,0.2464716,0,1.232358,330.2611741068747880080301341,4.868715097398645523459903697,bulk
162.125.66.19,192.168.31.87,443,32984,TCP,6,0,407,0,67.83333333333333,0.0,0.2475714,0,1.237857,328.7940367910025148300651852,4.847086537459496533121354082,bulk
162.125.66.17,192.168.31.87,443,32864,TCP,267,0,11056,0,41.40823970037453,0.0,0.05157411654135338345864661654,0,13.718715,805.9063840891803641959177664,19.46246423225498889655481581,bulk
162.125.7.20,192.168.31.87,443,32999,TCP,13,0,1137,0,87.46153846153847,0.0,0.85666025,0,10.279923,110.6039412941128060978666864,1.264600911893989867433831946,bulk
162.125.66.19,192.168.31.87,443,33196,TCP,13,0,1452,0,111.6923076923077,0.0,-2.361215916666666666666666667,0,30.811322,47.12553391899250541732678656,0.4219228243435968115876365188,bulk
